#    t(1)      varx(2)      vary(3)      varz(3)
2.7595 0.220242 0.225748 0.25559
2.76 0.22068 0.226047 0.256317
2.7605 0.22111 0.226345 0.257027
2.761 0.221536 0.226643 0.25772
2.7615 0.221958 0.226941 0.258396
2.762 0.222379 0.227239 0.259054
2.7625 0.222798 0.227538 0.259694
2.763 0.223217 0.227839 0.260318
2.7635 0.223635 0.228141 0.260925
2.764 0.224052 0.228447 0.261517
2.7645 0.224466 0.228755 0.262093
2.765 0.224877 0.229067 0.262657
2.7655 0.225286 0.229383 0.263207
2.766 0.22569 0.229704 0.263745
2.7665 0.22609 0.230032 0.264271
2.767 0.226484 0.230368 0.264785
2.7675 0.226875 0.230713 0.265287
2.768 0.227261 0.231068 0.265776
2.7685 0.227645 0.231434 0.266253
2.769 0.228028 0.231811 0.266719
2.7695 0.228411 0.2322 0.267173
2.77 0.228797 0.2326 0.267617
2.7705 0.229186 0.233009 0.268052
2.771 0.229582 0.233426 0.268481
2.7715 0.229983 0.233849 0.268905
2.772 0.230394 0.234276 0.269328
2.7725 0.230813 0.234705 0.269751
2.773 0.231241 0.235133 0.270176
2.7735 0.231678 0.23556 0.270607
2.774 0.232124 0.235983 0.271045
2.7745 0.232578 0.236404 0.27149
2.775 0.233038 0.236821 0.271945
2.7755 0.233505 0.237236 0.27241
2.776 0.233976 0.237649 0.272886
2.7765 0.23445 0.238062 0.273375
2.777 0.234926 0.238478 0.273878
2.7775 0.235403 0.238897 0.274395
2.778 0.235879 0.239322 0.274929
2.7785 0.236355 0.239755 0.275479
2.779 0.236828 0.240196 0.276048
2.7795 0.2373 0.240648 0.276634
2.78 0.237768 0.24111 0.277241
2.7805 0.238233 0.241584 0.277867
2.781 0.238694 0.24207 0.278512
2.7815 0.23915 0.242569 0.279175
2.782 0.239601 0.243079 0.279855
2.7825 0.240046 0.243601 0.280549
2.783 0.240485 0.244133 0.281253
2.7835 0.240919 0.244676 0.281966
2.784 0.241349 0.245227 0.282682
2.7845 0.241775 0.245787 0.283399
2.785 0.2422 0.246353 0.284112
2.7855 0.242625 0.246926 0.284818
2.786 0.243051 0.247504 0.285515
2.7865 0.243481 0.248087 0.286198
2.787 0.243918 0.248673 0.286865
2.7875 0.244362 0.249262 0.287515
2.788 0.244817 0.249855 0.288145
2.7885 0.245283 0.250451 0.288754
2.789 0.245761 0.251051 0.289343
2.7895 0.246253 0.251652 0.289908
2.79 0.246759 0.252256 0.29045
2.7905 0.247277 0.25286 0.290968
2.791 0.247809 0.253465 0.291463
2.7915 0.248352 0.254069 0.291936
2.792 0.248908 0.254671 0.292389
2.7925 0.249474 0.255271 0.292826
2.793 0.250052 0.255867 0.293252
2.7935 0.25064 0.256457 0.293669
2.794 0.251239 0.257042 0.294079
2.7945 0.25185 0.257618 0.294487
2.795 0.252471 0.258185 0.294895
2.7955 0.253103 0.258743 0.295302
2.796 0.253746 0.259291 0.295713
2.7965 0.254398 0.259828 0.296129
2.797 0.255058 0.260355 0.296552
2.7975 0.255725 0.260871 0.296985
2.798 0.256398 0.261378 0.297429
2.7985 0.257077 0.261876 0.297889
2.799 0.257761 0.262367 0.298367
2.7995 0.258449 0.262853 0.298864
2.8 0.259142 0.263334 0.299383
2.8005 0.25984 0.263812 0.299925
2.801 0.260545 0.264287 0.300492
2.8015 0.261256 0.26476 0.301084
2.802 0.261972 0.26523 0.301702
2.8025 0.262695 0.265696 0.302345
2.803 0.263423 0.266156 0.303012
2.8035 0.264156 0.266609 0.303703
2.804 0.264892 0.267053 0.304417
2.8045 0.26563 0.267488 0.305151
2.805 0.266367 0.267911 0.305905
2.8055 0.2671 0.268325 0.306677
2.806 0.267827 0.268732 0.307467
2.8065 0.268544 0.269131 0.308274
2.807 0.269247 0.269527 0.309098
2.8075 0.269934 0.269921 0.309938
2.808 0.270602 0.270315 0.310793
2.8085 0.271249 0.270711 0.311664
2.809 0.271874 0.271112 0.312551
2.8095 0.272478 0.271517 0.313452
2.81 0.273061 0.27193 0.314367
2.8105 0.273625 0.272351 0.315294
2.811 0.274172 0.27278 0.316232
2.8115 0.274703 0.273219 0.31718
2.812 0.275222 0.273669 0.318135
2.8125 0.275731 0.274129 0.319095
2.813 0.276232 0.274602 0.320058
2.8135 0.276727 0.275087 0.32102
2.814 0.277215 0.275586 0.321979
2.8145 0.2777 0.276099 0.322934
2.815 0.278181 0.276627 0.323883
2.8155 0.278659 0.277169 0.324823
2.816 0.279136 0.277728 0.325755
2.8165 0.279611 0.278304 0.326678
2.817 0.280086 0.278896 0.327591
2.8175 0.280562 0.279506 0.328495
2.818 0.28104 0.280133 0.32939
2.8185 0.281523 0.280777 0.330277
2.819 0.28201 0.28144 0.331157
2.8195 0.282503 0.28212 0.332028
2.82 0.283001 0.282818 0.332892
2.8205 0.283506 0.283535 0.333749
2.821 0.284017 0.28427 0.334597
2.8215 0.284534 0.285023 0.335435
2.822 0.285056 0.285794 0.336263
2.8225 0.285583 0.286582 0.337076
2.823 0.286115 0.287386 0.337875
2.8235 0.286649 0.288203 0.338656
2.824 0.287187 0.289031 0.339419
2.8245 0.287726 0.289867 0.340164
2.825 0.288265 0.290709 0.34089
2.8255 0.288804 0.291552 0.341599
2.826 0.289341 0.292395 0.342294
2.8265 0.289875 0.293234 0.342977
2.827 0.290406 0.294068 0.34365
2.8275 0.290934 0.294895 0.344317
2.828 0.291457 0.295714 0.344979
2.8285 0.291977 0.296523 0.345638
2.829 0.292494 0.297323 0.346294
2.8295 0.293007 0.298113 0.346946
2.83 0.293516 0.298893 0.347595
2.8305 0.294023 0.29966 0.348238
2.831 0.294526 0.300415 0.348874
2.8315 0.295025 0.301157 0.349501
2.832 0.29552 0.301883 0.350117
2.8325 0.296009 0.302592 0.35072
2.833 0.296495 0.303283 0.351309
2.8335 0.296975 0.303953 0.351884
